timestamp,text;;
"2021-05-23 05:51:17,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/vThylIFxmt""";;
"2021-05-23 05:51:09,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/DK0eSaidGs""";;
"2021-05-23 05:50:58,""Kegiatan Penyekatan Lalu Lintas Darat Pemeriksaan Larangan Mudik, Pembatasan Moda Transportasi Darat oleh Personil… https://t.co/IYhOfncXme""";;
"2021-05-23 05:49:04,""Sebanyak 170 lebih warga China kembali datang ke Indonesia dengan mudah, diduga dampak Omnibus Law , di saat yang s… https://t.co/8r4oUtrJLd""";;
"2021-05-23 05:43:04,""Pemberangkatan Kedua Usai Larangan Mudik, Pelabuhan Parepare Layani 965 Penumpang https://t.co/E4ud3rMpjq""";;
"2021-05-23 05:42:30,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/JsB5SGc1aB""";;
"2021-05-23 05:42:26,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/20OSAztFU3""";;
"2021-05-23 05:42:11,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/QMciSfwXUT""";;
"2021-05-23 05:42:05,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
"@sepdum… https://t.co/PFYRi6jIKX""";;
"2021-05-23 05:42:02,""Giat Pemeriksaan Larangan Mudik Lebaran 2021";;
@irsmm_id ;;
@roadsafetymedia ;;
@RTMCRiau ;;
@HumasPoldaRiau ;;
